,Households estimate (%),Households margin of error,Families estimate (%),Families margin of error,Married-couple families estimate (%),Married-couple families margin of error,Nonfamlilies estimate (%),Nonfamilies margin of error
Total,120062818,±161148,78631163,±144258,57847574,±164114,41431655,±105291
"Less than $10,000",6.5,±0.1,3.8,±0.1,1.5,±0.1,12.6,±0.1
"$10,000 to $14,999",4.5,±0.1,2.5,±0.1,1.3,±0.1,8.8,±0.1
"$15,000 to $24,999",9.3,±0.1,6.6,±0.1,4.1,±0.1,15.2,±0.1
"$25,000 to $34,999",9.1,±0.1,7.8,±0.1,5.9,±0.1,12.2,±0.1
"$35,000 to $49,999",12.7,±0.1,11.9,±0.1,10.3,±0.1,14.4,±0.1
"$50,000 to $74,999",17.6,±0.1,18.1,±0.1,18,±0.1,16.2,±0.1
"$75,000 to $99,999",12.5,±0.1,14.3,±0.1,15.9,±0.1,8.4,±0.1
"$100,000 to $149,999",14.6,±0.1,17.9,±0.1,21.4,±0.1,7.3,±0.1
"$150,000 to $199,999",6.3,±0.1,8,±0.1,10.1,±0.1,2.4,±0.1
"$200,000 or more",6.9,±0.1,9,±0.1,11.6,±0.1,2.5,±0.1
Median income ($),60336,86,73891,159,88315,184,35980,95
Mean income ($),84525,136,99114,189,115053,211,53066,159
